timestamp,open,high,low,close,volume
2022-12-01,1.04041,1.0534,1.03906,1.05257,0
2022-12-02,1.05258,1.0545,1.0427,1.05325,0
2022-12-05,1.053,1.05948,1.0478,1.04877,0
2022-12-06,1.04902,1.05329,1.0457,1.0465,0
2022-12-07,1.0466,1.05498,1.0441,1.05029,0
2022-12-08,1.05048,1.05649,1.0488,1.0554,0
2022-12-09,1.05542,1.05882,1.05018,1.05329,0
2022-12-12,1.05281,1.05802,1.0504,1.05367,0
2022-12-13,1.05355,1.06733,1.0526,1.06324,0
2022-12-14,1.06317,1.06952,1.0617,1.06815,0
2022-12-15,1.06812,1.07363,1.0591,1.06269,0
2022-12-16,1.0625,1.06631,1.05827,1.05839,0
2022-12-19,1.0588,1.06579,1.0574,1.0606,0
2022-12-20,1.06062,1.06586,1.0577,1.06232,0
2022-12-21,1.06231,1.06455,1.0589,1.06039,0
2022-12-22,1.06052,1.06594,1.0572,1.05965,0
2022-12-23,1.05928,1.0633,1.0585,1.06172,0
2022-12-26,1.061,1.06364,1.05965,1.06332,0
2022-12-27,1.0636,1.06694,1.061,1.0639,0
2022-12-28,1.0636,1.06745,1.0605,1.0611,0
2022-12-29,1.061,1.06916,1.06078,1.06609,0
2022-12-30,1.0661,1.07131,1.0637,1.07025,0
2023-01-02,1.07031,1.07087,1.06489,1.06656,0
2023-01-03,1.06646,1.06836,1.0517,1.0546,0
2023-01-04,1.05461,1.06354,1.0539,1.06033,0
2023-01-05,1.0602,1.06314,1.0513,1.052,0
2023-01-06,1.052,1.0648,1.04816,1.06413,0
2023-01-09,1.06409,1.07606,1.0636,1.07292,0
2023-01-10,1.0728,1.07595,1.071,1.07326,0
2023-01-11,1.07322,1.07775,1.0724,1.07562,0
2023-01-12,1.07566,1.0867,1.07292,1.08522,0
2023-01-13,1.08506,1.0868,1.0779,1.08302,0
2023-01-16,1.08333,1.08741,1.08,1.08198,0
2023-01-17,1.08205,1.08699,1.0773,1.07877,0
2023-01-18,1.07872,1.08873,1.0765,1.0794,0
2023-01-19,1.07928,1.084,1.0781,1.08308,0
2023-01-20,1.0831,1.0859,1.0801,1.08549,0
2023-01-23,1.08672,1.09267,1.0844,1.08715,0
2023-01-24,1.0871,1.08979,1.0833,1.08851,0
2023-01-25,1.08848,1.09237,1.0856,1.09154,0
2023-01-26,1.0915,1.09294,1.0849,1.08916,0
2023-01-27,1.08918,1.09002,1.0836,1.08649,0
2023-01-30,1.08644,1.09137,1.0837,1.0848,0
2023-01-31,1.08488,1.0875,1.08,1.08626,0
2023-02-01,1.0861,1.1001,1.085,1.099,0
2023-02-02,1.0989,1.10327,1.0885,1.09092,0
2023-02-03,1.09086,1.09401,1.0791,1.07929,0
2023-02-06,1.07814,1.0799,1.0708,1.07252,0
2023-02-07,1.07251,1.07664,1.0667,1.07253,0
2023-02-08,1.07247,1.07607,1.0708,1.07099,0
2023-02-09,1.07099,1.07907,1.07065,1.07398,0
2023-02-10,1.07366,1.07527,1.0665,1.06754,0
2023-02-13,1.06807,1.073,1.0654,1.07207,0
2023-02-14,1.07216,1.08044,1.0706,1.07366,0
2023-02-15,1.07361,1.07444,1.0659,1.0688,0
2023-02-16,1.06871,1.07223,1.0653,1.06725,0
2023-02-17,1.06719,1.06983,1.0611,1.06929,0
2023-02-20,1.06868,1.07046,1.0669,1.06841,0
